n,code,depth1,dpeth2,depth3,gridX,gridY,lonHour,lonMin,lonSec,latHour,latMin,latSec,longitude,latitude,
kor,4872000000,경상남도,의령군,,83,78,128,15,49.76,35,19,8.83,128.26382222222200,35.319119444444400,
kor,4873000000,경상남도,함안군,,86,77,128,24,31.35,35,16,9.86,128.40870833333300,35.26940555555560,
kor,4874000000,경상남도,창녕군,,87,83,128,29,40.32,35,32,29.53,128.49453333333300,35.54153611111110,
kor,4882000000,경상남도,고성군,,85,71,128,19,28.35,34,58,11.64,128.32454166666700,34.9699,
kor,4884000000,경상남도,남해군,,77,68,127,53,40.08,34,50,4.41,127.89446666666700,34.834558333333300,
kor,4885000000,경상남도,하동군,,74,73,127,45,12.35,35,3,51.13,127.75343055555600,35.06420277777780,
kor,4886000000,경상남도,산청군,,76,80,127,52,32.23,35,24,44.97,127.87561944444400,35.41249166666670,
kor,4887000000,경상남도,함양군,,74,82,127,43,38.71,35,31,2.89,127.72741944444400,35.517469444444400,
kor,4888000000,경상남도,거창군,,77,86,127,54,41.96,35,41,1.05,127.91165555555600,35.683625,
kor,4889000000,경상남도,합천군,,81,84,128,10,4.55,35,33,49.02,128.16793055555600,35.56361666666670,
kor,5000000000,제주특별자치도,,,52,38,126,30,1.2,33,29,8.5,126.50033333333300,33.48569444444450,
kor,5011000000,제주특별자치도,제주시,,53,38,126,31,59.55,33,29,46.72,126.53320833333300,33.49631111111110,
kor,5013000000,제주특별자치도,서귀포시,,52,33,126,30,45.2,33,15,8.46,126.51255555555600,33.25235,
kor,5019000000,이어도,,,28,8,0,0,0.0,0,0,0.0,0.0,0.0,
kor,5019099000,이어도,,,28,8,0,0,0.0,0,0,0.0,0.0,0.0,
